video,scores
BTFB-00h33m50s_res720_mu1500_sigma100_rate1544_aqOn.yuv,7.73581041811438
BTFB-00h33m50s_res1080_mu5400_sigma300_rate5224_aqOn.yuv,8.09867806745591
BTFB-00h33m50s_res720_mu1500_sigma100_rate1544_aqOff.yuv,7.74079228712198
BTFB-00h33m50s_res2160_mu11200_sigma300_rate11440_aqOn.yuv,8.23173847747355
BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOff.yuv,7.79868022937243
BTFB-00h33m50s_res2160_mu1000_sigma100_rate1009_aqOn.yuv,7.29332857797242
BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOff.yuv,7.55313414262205
BTFB-01h41m55s_res720_mu1500_sigma100_rate1409_aqOff.yuv,8.38162398259418
BTFB-01h41m55s_res720_mu1500_sigma100_rate1409_aqOn.yuv,8.3768725584278
BTFB-01h41m55s_res1080_mu500_sigma100_rate386_aqOn.yuv,7.58512398627474
BTFB-01h41m55s_res2160_mu11200_sigma300_rate11259_aqOn.yuv,8.9997075093853
BTFB-01h41m55s_res600_mu800_sigma50_rate787_aqOn.yuv,8.18348010901871
BTFB-01h41m55s_res600_mu800_sigma50_rate787_aqOff.yuv,8.20064528077436
BTFB-01h41m55s_res1080_mu1200_sigma100_rate1459_aqOff.yuv,8.30564644752721
BTFB-01h41m55s_res2160_mu3000_sigma300_rate2798_aqOn.yuv,8.3841803034166
BTFB-01h41m55s_res2160_mu3000_sigma300_rate2798_aqOff.yuv,8.39763430924287
BTFB-01h41m55s_res2160_mu1000_sigma100_rate1051_aqOn.yuv,7.9659945046743
BTFB-01h41m55s_res1080_mu5400_sigma300_rate5685_aqOn.yuv,8.77392215878337
BTFB-01h41m55s_res1080_mu1200_sigma100_rate1459_aqOn.yuv,8.29647491516736
MOLV-102_res600_mu800_sigma200_rate799_aqOn.yuv,8.35529006110162
MOLV-102_res2160_mu11200_sigma300_rate11279_aqOn.yuv,8.9806147071446
MOLV-102_res720_mu1500_sigma300_rate1598_aqOn.yuv,8.73827959921038
MOLV-102_res2160_mu3000_sigma300_rate3214_aqOn.yuv,8.69402387401272
MOLV-102_res1080_mu1200_sigma100_rate1304_aqOn.yuv,8.41717948827694
MOLV-102_res1080_mu5400_sigma300_rate5504_aqOn.yuv,8.80452789223864
MOLV-102_res1080_mu500_sigma100_rate385_aqOn.yuv,7.099265286013
MOLV-102_res2160_mu1000_sigma100_rate1035_aqOn.yuv,8.1307313030181
AERO-00h13m10s_res600_mu800_sigma50_rate766_aqOff.yuv,8.03619113199955
AERO-00h13m10s_res2160_mu3000_sigma300_rate2852_aqOn.yuv,8.65211526306786
AERO-00h13m10s_res2160_mu11200_sigma300_rate11201_aqOn.yuv,9.35691907349402
AERO-00h13m10s_res720_mu1500_sigma100_rate1573_aqOn.yuv,8.62069029035247
AERO-00h13m10s_res1080_mu500_sigma100_rate538_aqOn.yuv,7.59814147841197
AERO-00h13m10s_res2160_mu3000_sigma300_rate2852_aqOff.yuv,8.62761821182443
AERO-00h13m10s_res1080_mu1200_sigma100_rate1185_aqOff.yuv,8.20902469381745
AERO-00h13m10s_res1080_mu1200_sigma100_rate1185_aqOn.yuv,8.22081140028118
AERO-00h13m10s_res1080_mu5400_sigma300_rate5419_aqOn.yuv,9.20389725647886
AERO-00h13m10s_res600_mu800_sigma50_rate766_aqOn.yuv,8.03819105996558
AERO-00h13m10s_res2160_mu1000_sigma100_rate1006_aqOn.yuv,7.69726750689118
AERO-00h13m10s_res720_mu1500_sigma100_rate1573_aqOff.yuv,8.6096651105673
CHMA-402_res1080_mu1200_sigma100_rate1193_aqOn.yuv,8.34255481634912
CHMA-402_res2160_mu1000_sigma100_rate966_aqOn.yuv,7.78739590367966
CHMA-402_res2160_mu3000_sigma300_rate3211_aqOn.yuv,9.00013608093942
