,yuv,framenos,content,ref
160,CHMA-302_res1080_mu1200_sigma100_rate962_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
161,HERO-00h01m57s_res1080_mu1200_sigma100_rate1171_aqOff.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
162,MRSM-301_res2160_mu11200_sigma300_rate11216_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
163,COVT-107_res600_mu800_sigma200_rate587_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
164,EplJuvVsRma-night3_res2160_mu11200_sigma300_rate10706_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
165,MOLV-102_res720_mu1500_sigma300_rate1598_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
166,CHMA-313_res1080_mu5400_sigma300_rate5497_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
167,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
168,7500-00h15m25s_res1080_mu500_sigma100_rate466_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
169,EplJuvVsRma-night2_res1080_mu5400_sigma300_rate5259_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
170,Wot_res2160_mu11200_sigma300_rate11338_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
171,BTFB-01h12m21s_res1080_mu5400_sigma300_rate4777_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
172,EplJuvVsRma-night3_res1080_mu5400_sigma300_rate5712_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
173,JKRY-108_res2160_mu11200_sigma300_rate11252_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
174,HNNA-202_res1080_mu500_sigma100_rate400_aqOn.yuv,190,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
175,CHMA-402_res2160_mu3000_sigma300_rate3211_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
176,AERO-00h13m10s_res720_mu1500_sigma100_rate1573_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
177,MOLV-102_res2160_mu3000_sigma300_rate3214_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
178,Disney-3_res1080_mu500_sigma100_rate475_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
179,Disney_res1080_mu1200_sigma100_rate1108_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
180,CHMA-101_res1080_mu5400_sigma300_rate5808_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
181,EplJuvVsRma-night1_res600_mu800_sigma200_rate779_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
182,COVT-107_res1080_mu1200_sigma100_rate1180_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
183,CHMA-402_res2160_mu11200_sigma300_rate11337_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
184,BTFB-01h12m33s_res1080_mu5400_sigma300_rate5254_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
185,AERO-00h13m10s_res1080_mu500_sigma100_rate538_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
186,CHMA-101_res1080_mu500_sigma100_rate632_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
187,BASN-00h37m18s_res2160_mu3000_sigma300_rate3027_aqOn.yuv,190,BASN-00h37m18s,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
188,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
189,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
190,EXPA-505_res720_mu1500_sigma100_rate1485_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
191,CHMA-402_res1080_mu5400_sigma300_rate5380_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
192,COVT-110_res2160_mu1000_sigma100_rate1069_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
193,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
194,CARE-2_res1080_mu500_sigma100_rate539_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
195,HERO-00h02m40s_res2160_mu3000_sigma300_rate3089_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
196,Disney_res2160_mu3000_sigma300_rate2951_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
197,CHMA-313_res2160_mu3000_sigma300_rate3122_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
198,CHMA-313-2_res2160_mu11200_sigma300_rate11194_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
199,HERO-00h01m57s_res600_mu800_sigma50_rate780_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
200,BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
201,BTFB-01h41m55s_res600_mu800_sigma50_rate787_aqOff.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
202,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
203,JKRY-108_res1080_mu500_sigma100_rate588_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
204,BTFB-00h33m50s_res1080_mu500_sigma100_rate340_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
205,Wot_res1080_mu5400_sigma300_rate5456_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
206,CARE-2_res600_mu800_sigma200_rate1014_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
207,CIND-00h13m44s_res720_mu1500_sigma100_rate1568_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
208,BTFB-00h33m50s_res720_mu1500_sigma100_rate1544_aqOn.yuv,190,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
209,AERO-00h13m10s_res2160_mu3000_sigma300_rate2852_aqOff.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
210,EXPA-505_res1080_mu500_sigma100_rate448_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
211,Disney_res1080_mu500_sigma100_rate311_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
212,EXPA-504_res1080_mu500_sigma100_rate487_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
213,MRSM-301_res2160_mu3000_sigma300_rate3297_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
214,EXPA-504_res1080_mu5400_sigma300_rate4934_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
215,Wot_res2160_mu1000_sigma100_rate1054_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
216,THBY-103_res1080_mu500_sigma100_rate564_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
217,Wot-2_res2160_mu3000_sigma300_rate3149_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
218,BASN-00h37m18s_res1080_mu1200_sigma100_rate1196_aqOn.yuv,190,BASN-00h37m18s,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
219,HERO-00h01m57s_res2160_mu1000_sigma100_rate1020_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
220,EplJuvVsRma-night3_res1080_mu1200_sigma100_rate1170_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
221,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
222,Wot-2_res1080_mu500_sigma100_rate483_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
223,CMDY-101-00h10m21s_res2160_mu1000_sigma100_rate798_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
224,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
225,EplJuvVsRma-night3_res2160_mu3000_sigma300_rate3402_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
226,CARE-2_res1080_mu5400_sigma300_rate4886_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
227,Wot-2_res1080_mu5400_sigma300_rate5207_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
228,BTFB-00h33m50s_res1080_mu5400_sigma300_rate5224_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
229,JKRY-108_res600_mu800_sigma200_rate1036_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
230,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
231,Wot-2_res2160_mu11200_sigma300_rate10931_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
232,THBY-103_res1080_mu1200_sigma100_rate1054_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
233,CHEM_res2160_mu3000_sigma300_rate3242_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
234,CARE-2_res2160_mu11200_sigma300_rate11440_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
235,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
236,EXPA-510-1_res2160_mu1000_sigma100_rate970_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
237,HERO-00h01m57s_res720_mu1500_sigma100_rate1426_aqOff.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
238,HNNA-202_res1080_mu1200_sigma100_rate1351_aqOn.yuv,190,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
239,EplJuvVsRma-night1_res1080_mu1200_sigma100_rate1252_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
240,CMDY-101-00h10m21s_res2160_mu11200_sigma300_rate10759_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
241,7500-00h15m25s_res1080_mu1200_sigma100_rate1268_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
242,HNNA-102_res2160_mu11200_sigma300_rate11721_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
243,CHMA-313_res720_mu1500_sigma300_rate1692_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
